卫视频道,#genre#
IPTV5+,http://192.168.3.211:4022/rtp/238.1.78.238:7776
IPTV6＋,http://192.168.3.211:4022/rtp/238.1.78.248:7856
IPTV8＋,http://192.168.3.211:4022/rtp/238.1.78.249:7864
IPTV野外,http://192.168.3.211:4022/rtp/238.1.78.4:7936
IPTV法治,http://192.168.3.211:4022/rtp/238.1.78.5:7944
IPTV谍战剧场,http://192.168.3.211:4022/rtp/238.1.78.2:7920
IPTV经典电影,http://192.168.3.211:4022/rtp/238.1.78.10:7984
IPTV热播剧场,http://192.168.3.211:4022/rtp/238.1.78.9:7976
IPTV少儿动画,http://192.168.3.211:4022/rtp/238.1.78.6:7952
IPTV收视指南,http://192.168.3.211:4022/rtp/238.1.78.8:7968
IPTV相声小品,http://192.168.3.211:4022/rtp/238.1.78.3:7928
IPTV魅力时尚,http://192.168.3.211:4022/rtp/238.1.78.7:7960
